timestamp,horizon_hour,pm2_5_predicted,aqi_predicted,aqi_category,cams_pm2_5
2026-09-16 00:00:00,1,48.58,133,Unhealthy for Sensitive Groups,24.9
2026-09-16 01:00:00,2,42.81,119,Unhealthy for Sensitive Groups,23.9
2026-09-16 02:00:00,3,41.55,116,Unhealthy for Sensitive Groups,22.2
2026-09-16 03:00:00,4,41.56,116,Unhealthy for Sensitive Groups,20.8
2026-09-16 04:00:00,5,46.29,128,Unhealthy for Sensitive Groups,20.1
2026-09-16 05:00:00,6,45.12,125,Unhealthy for Sensitive Groups,20.2
2026-09-16 06:00:00,7,44.42,123,Unhealthy for Sensitive Groups,22.0
2026-09-16 07:00:00,8,50.53,138,Unhealthy for Sensitive Groups,27.6
2026-09-16 08:00:00,9,50.38,138,Unhealthy for Sensitive Groups,31.5
2026-09-16 09:00:00,10,52.38,143,Unhealthy for Sensitive Groups,35.2
2026-09-16 10:00:00,11,51.08,139,Unhealthy for Sensitive Groups,36.9
2026-09-16 11:00:00,12,49.55,136,Unhealthy for Sensitive Groups,38.6
2026-09-16 12:00:00,13,42.18,118,Unhealthy for Sensitive Groups,38.3
2026-09-16 13:00:00,14,38.09,108,Unhealthy for Sensitive Groups,35.9
2026-09-16 14:00:00,15,33.58,97,Moderate,34.5
2026-09-16 15:00:00,16,33.95,97,Moderate,33.9
2026-09-16 16:00:00,17,25.97,82,Moderate,33.3
2026-09-16 17:00:00,18,26.48,83,Moderate,32.9
2026-09-16 18:00:00,19,36.75,104,Unhealthy for Sensitive Groups,31.4
2026-09-16 19:00:00,20,39.33,111,Unhealthy for Sensitive Groups,29.8
2026-09-16 20:00:00,21,45.5,126,Unhealthy for Sensitive Groups,28.9
2026-09-16 21:00:00,22,39.81,112,Unhealthy for Sensitive Groups,28.1
2026-09-16 22:00:00,23,42.95,119,Unhealthy for Sensitive Groups,26.8
2026-09-16 23:00:00,24,41.87,117,Unhealthy for Sensitive Groups,25.7
2026-09-17 00:00:00,25,33.12,96,Moderate,24.2
2026-09-17 01:00:00,26,35.47,101,Unhealthy for Sensitive Groups,22.8
2026-09-17 02:00:00,27,33.12,96,Moderate,21.9
2026-09-17 03:00:00,28,35.28,100,Moderate,21.0
2026-09-17 04:00:00,29,37.24,106,Unhealthy for Sensitive Groups,20.3
2026-09-17 05:00:00,30,36.68,104,Unhealthy for Sensitive Groups,19.8
2026-09-17 06:00:00,31,36.35,103,Unhealthy for Sensitive Groups,19.8
2026-09-17 07:00:00,32,40.74,114,Unhealthy for Sensitive Groups,21.0
2026-09-17 08:00:00,33,39.81,112,Unhealthy for Sensitive Groups,21.3
2026-09-17 09:00:00,34,33.68,97,Moderate,22.2
2026-09-17 10:00:00,35,32.21,94,Moderate,23.1
2026-09-17 11:00:00,36,32.36,94,Moderate,23.8
2026-09-17 12:00:00,37,33.43,96,Moderate,24.9
2026-09-17 13:00:00,38,35.14,100,Moderate,25.3
2026-09-17 14:00:00,39,32.46,95,Moderate,24.5
2026-09-17 15:00:00,40,28.85,88,Moderate,23.1
2026-09-17 16:00:00,41,28.82,88,Moderate,21.3
2026-09-17 17:00:00,42,25.62,82,Moderate,20.0
2026-09-17 18:00:00,43,27.48,85,Moderate,18.9
2026-09-17 19:00:00,44,26.75,84,Moderate,16.8
2026-09-17 20:00:00,45,29.38,89,Moderate,16.1
2026-09-17 21:00:00,46,32.98,96,Moderate,16.6
2026-09-17 22:00:00,47,25.52,82,Moderate,16.9
2026-09-17 23:00:00,48,26.38,83,Moderate,16.9
2026-09-18 00:00:00,49,27.53,85,Moderate,16.5
2026-09-18 01:00:00,50,25.17,81,Moderate,15.9
2026-09-18 02:00:00,51,22.24,76,Moderate,15.3
2026-09-18 03:00:00,52,21.15,74,Moderate,14.8
2026-09-18 04:00:00,53,20.37,72,Moderate,14.5
2026-09-18 05:00:00,54,20.38,72,Moderate,14.1
2026-09-18 06:00:00,55,26.87,84,Moderate,14.3
2026-09-18 07:00:00,56,35.0,99,Moderate,16.4
2026-09-18 08:00:00,57,37.44,106,Unhealthy for Sensitive Groups,17.6
2026-09-18 09:00:00,58,35.41,101,Unhealthy for Sensitive Groups,19.6
2026-09-18 10:00:00,59,37.58,106,Unhealthy for Sensitive Groups,22.4
2026-09-18 11:00:00,60,34.86,99,Moderate,24.0
2026-09-18 12:00:00,61,33.68,97,Moderate,25.4
2026-09-18 13:00:00,62,33.63,97,Moderate,26.3
2026-09-18 14:00:00,63,31.0,92,Moderate,25.5
2026-09-18 15:00:00,64,32.34,94,Moderate,24.6
2026-09-18 16:00:00,65,31.36,93,Moderate,24.3
2026-09-18 17:00:00,66,30.21,90,Moderate,23.0
2026-09-18 18:00:00,67,31.65,93,Moderate,21.0
2026-09-18 19:00:00,68,32.75,95,Moderate,19.2
2026-09-18 20:00:00,69,36.25,103,Unhealthy for Sensitive Groups,17.9
2026-09-18 21:00:00,70,33.57,97,Moderate,18.1
2026-09-18 22:00:00,71,30.42,91,Moderate,19.2
2026-09-18 23:00:00,72,22.02,75,Moderate,20.5
